ticker_1,ticker_2,sector,eg_pvalue,eg_direction,eg_significant,beta,jo_trace_stat,jo_trace_cv,jo_significant,both_significant,half_life_days,hl_tradeable
SUNPHARMA.NS,CIPLA.NS,pharma,0.361462,CIPLA.NS~SUNPHARMA.NS,False,1.274271,7.7876,15.4943,False,False,67.5,True
SUNPHARMA.NS,DRREDDY.NS,pharma,0.527255,DRREDDY.NS~SUNPHARMA.NS,False,2.095889,6.452,15.4943,False,False,136.25,False
SUNPHARMA.NS,LUPIN.NS,pharma,0.942984,LUPIN.NS~SUNPHARMA.NS,False,4.451407,1.9073,15.4943,False,False,429.47,False
SUNPHARMA.NS,AUROPHARMA.NS,pharma,0.652416,AUROPHARMA.NS~SUNPHARMA.NS,False,5.002981,3.2929,15.4943,False,False,186.88,False
SUNPHARMA.NS,DIVISLAB.NS,pharma,0.877105,DIVISLAB.NS~SUNPHARMA.NS,False,1.620987,7.5676,15.4943,False,False,318.26,False
SUNPHARMA.NS,TORNTPHARM.NS,pharma,0.356331,TORNTPHARM.NS~SUNPHARMA.NS,False,1.442771,10.7449,15.4943,False,False,65.16,True
SUNPHARMA.NS,ALKEM.NS,pharma,0.204483,ALKEM.NS~SUNPHARMA.NS,False,1.618486,10.8761,15.4943,False,False,66.13,True
SUNPHARMA.NS,IPCALAB.NS,pharma,0.613558,IPCALAB.NS~SUNPHARMA.NS,False,2.305245,7.5974,15.4943,False,False,156.6,False
SUNPHARMA.NS,BIOCON.NS,pharma,0.61494,BIOCON.NS~SUNPHARMA.NS,False,-7.516334,5.416,15.4943,False,False,133.06,False
SUNPHARMA.NS,ABBOTINDIA.NS,pharma,0.027022,ABBOTINDIA.NS~SUNPHARMA.NS,True,1.476265,16.2563,15.4943,True,True,66.51,True
SUNPHARMA.NS,GLAXO.NS,pharma,0.231798,GLAXO.NS~SUNPHARMA.NS,False,4.254897,7.2869,15.4943,False,False,79.56,True
SUNPHARMA.NS,PFIZER.NS,pharma,0.604695,PFIZER.NS~SUNPHARMA.NS,False,6.682556,7.538,15.4943,False,False,151.31,False
SUNPHARMA.NS,ZYDUSLIFE.NS,pharma,0.78947,SUNPHARMA.NS~ZYDUSLIFE.NS,False,0.93093,3.8036,15.4943,False,False,250.12,False
