ticker_1,ticker_2,ticker_3,sector,johansen_rank,cointegrated,rank2,trace_stat_0,trace_cv_0,trace_stat_1,trace_cv_1,w1,w2,w3,half_life_days,hl_tradeable
SUNPHARMA.NS,CIPLA.NS,DRREDDY.NS,pharma,0,False,False,19.7723,29.7961,7.1064,15.4943,1.0,-1.897401,0.826776,,False
SUNPHARMA.NS,CIPLA.NS,LUPIN.NS,pharma,0,False,False,9.5482,29.7961,1.4282,15.4943,1.0,-1.433386,0.127782,,False
SUNPHARMA.NS,CIPLA.NS,AUROPHARMA.NS,pharma,0,False,False,13.9276,29.7961,3.0437,15.4943,1.0,-1.498549,0.405763,,False
SUNPHARMA.NS,CIPLA.NS,DIVISLAB.NS,pharma,0,False,False,16.7356,29.7961,7.3078,15.4943,1.0,-1.657092,0.354731,,False
SUNPHARMA.NS,CIPLA.NS,TORNTPHARM.NS,pharma,0,False,False,27.2348,29.7961,10.6148,15.4943,1.0,0.472663,-1.96414,,False
SUNPHARMA.NS,CIPLA.NS,ALKEM.NS,pharma,0,False,False,19.0177,29.7961,5.79,15.4943,1.0,-0.596689,-0.996911,,False
SUNPHARMA.NS,CIPLA.NS,IPCALAB.NS,pharma,0,False,False,18.6018,29.7961,7.8683,15.4943,1.0,-1.648188,0.492465,,False
SUNPHARMA.NS,CIPLA.NS,BIOCON.NS,pharma,0,False,False,25.3049,29.7961,5.7664,15.4943,1.0,-1.239033,0.526567,,False
SUNPHARMA.NS,CIPLA.NS,ABBOTINDIA.NS,pharma,0,False,False,28.0016,29.7961,6.3825,15.4943,1.0,-0.754473,-0.795831,,False
SUNPHARMA.NS,CIPLA.NS,GLAXO.NS,pharma,0,False,False,14.3666,29.7961,4.9851,15.4943,1.0,-1.108396,-0.93444,,False
SUNPHARMA.NS,CIPLA.NS,PFIZER.NS,pharma,0,False,False,16.9458,29.7961,7.5249,15.4943,1.0,-1.361046,0.7125,,False
SUNPHARMA.NS,CIPLA.NS,ZYDUSLIFE.NS,pharma,0,False,False,13.7064,29.7961,4.5984,15.4943,1.0,-1.648407,0.308946,,False
SUNPHARMA.NS,CIPLA.NS,SANOFI.NS,pharma,0,False,False,16.7177,29.7961,7.2013,15.4943,1.0,-1.361118,-0.341872,,False
SUNPHARMA.NS,CIPLA.NS,LAURUSLABS.NS,pharma,0,False,False,20.8181,29.7961,5.2989,15.4943,1.0,-1.566335,0.214648,,False
SUNPHARMA.NS,CIPLA.NS,GRANULES.NS,pharma,0,False,False,18.0246,29.7961,7.2011,15.4943,1.0,-1.840231,0.496997,,False
SUNPHARMA.NS,CIPLA.NS,NATCOPHARM.NS,pharma,0,False,False,14.3189,29.7961,4.8613,15.4943,1.0,-1.480838,0.474344,,False
SUNPHARMA.NS,CIPLA.NS,GLENMARK.NS,pharma,0,False,False,16.8575,29.7961,3.8355,15.4943,1.0,-2.097028,0.763017,,False
SUNPHARMA.NS,DRREDDY.NS,LUPIN.NS,pharma,0,False,False,9.8888,29.7961,2.0242,15.4943,1.0,-4.141829,0.888261,,False
SUNPHARMA.NS,DRREDDY.NS,AUROPHARMA.NS,pharma,0,False,False,18.9735,29.7961,4.9061,15.4943,1.0,-3.382683,1.526494,,False
SUNPHARMA.NS,DRREDDY.NS,DIVISLAB.NS,pharma,0,False,False,19.2752,29.7961,7.024,15.4943,1.0,-2.572371,1.465466,,False
SUNPHARMA.NS,DRREDDY.NS,TORNTPHARM.NS,pharma,0,False,False,27.1625,29.7961,6.4735,15.4943,1.0,1.522185,-2.472323,,False
SUNPHARMA.NS,DRREDDY.NS,ALKEM.NS,pharma,0,False,False,20.1846,29.7961,5.9674,15.4943,1.0,1.267856,-2.79936,,False
SUNPHARMA.NS,DRREDDY.NS,IPCALAB.NS,pharma,0,False,False,19.4686,29.7961,6.6259,15.4943,1.0,-5.25425,4.385515,,False
SUNPHARMA.NS,DRREDDY.NS,BIOCON.NS,pharma,0,False,False,17.8931,29.7961,6.1745,15.4943,1.0,-1.612422,1.22341,,False
SUNPHARMA.NS,DRREDDY.NS,ABBOTINDIA.NS,pharma,0,False,False,25.23,29.7961,9.0803,15.4943,1.0,0.430311,-2.15808,,False
SUNPHARMA.NS,DRREDDY.NS,GLAXO.NS,pharma,0,False,False,13.4087,29.7961,5.6767,15.4943,1.0,-0.951885,-3.782481,,False
SUNPHARMA.NS,DRREDDY.NS,PFIZER.NS,pharma,0,False,False,21.1735,29.7961,6.4432,15.4943,1.0,-2.259915,2.566619,,False
SUNPHARMA.NS,DRREDDY.NS,ZYDUSLIFE.NS,pharma,0,False,False,17.1239,29.7961,3.8465,15.4943,1.0,31.808786,-19.218714,,False
SUNPHARMA.NS,DRREDDY.NS,SANOFI.NS,pharma,0,False,False,20.5496,29.7961,6.6945,15.4943,1.0,-5.767264,7.793304,,False
SUNPHARMA.NS,DRREDDY.NS,LAURUSLABS.NS,pharma,0,False,False,26.5641,29.7961,6.633,15.4943,1.0,-2.433923,0.33904,,False
SUNPHARMA.NS,DRREDDY.NS,GRANULES.NS,pharma,0,False,False,24.9229,29.7961,6.7589,15.4943,1.0,-10.879029,5.846245,,False
SUNPHARMA.NS,DRREDDY.NS,NATCOPHARM.NS,pharma,0,False,False,26.8562,29.7961,7.1352,15.4943,1.0,-2.990035,2.399788,,False
SUNPHARMA.NS,DRREDDY.NS,GLENMARK.NS,pharma,0,False,False,21.7826,29.7961,4.4663,15.4943,1.0,-16.95221,8.021319,,False
SUNPHARMA.NS,LUPIN.NS,AUROPHARMA.NS,pharma,0,False,False,16.753,29.7961,1.9756,15.4943,1.0,-18.331189,16.06907,,False
SUNPHARMA.NS,LUPIN.NS,DIVISLAB.NS,pharma,0,False,False,12.9371,29.7961,5.6634,15.4943,1.0,-0.243916,0.820101,,False
SUNPHARMA.NS,LUPIN.NS,TORNTPHARM.NS,pharma,0,False,False,20.4544,29.7961,2.2554,15.4943,1.0,0.447069,-1.695166,,False
SUNPHARMA.NS,LUPIN.NS,ALKEM.NS,pharma,0,False,False,14.4073,29.7961,1.7113,15.4943,1.0,0.468315,-1.991659,,False
SUNPHARMA.NS,LUPIN.NS,IPCALAB.NS,pharma,0,False,False,14.2019,29.7961,3.6148,15.4943,1.0,2.932429,-6.211857,,False
SUNPHARMA.NS,LUPIN.NS,BIOCON.NS,pharma,0,False,False,8.5474,29.7961,2.6668,15.4943,1.0,-0.444467,2.721602,,False
SUNPHARMA.NS,LUPIN.NS,ABBOTINDIA.NS,pharma,0,False,False,19.255,29.7961,1.9077,15.4943,1.0,-0.227937,-1.874653,,False
SUNPHARMA.NS,LUPIN.NS,GLAXO.NS,pharma,0,False,False,12.9192,29.7961,2.1713,15.4943,1.0,2.114199,-6.527273,,False
SUNPHARMA.NS,LUPIN.NS,PFIZER.NS,pharma,0,False,False,11.4878,29.7961,2.8825,15.4943,1.0,-2.073185,11.50655,,False
SUNPHARMA.NS,LUPIN.NS,ZYDUSLIFE.NS,pharma,0,False,False,10.3805,29.7961,1.9906,15.4943,1.0,1.770666,-2.173689,,False
SUNPHARMA.NS,LUPIN.NS,SANOFI.NS,pharma,0,False,False,13.2064,29.7961,1.4212,15.4943,1.0,5.205569,-12.577298,,False
SUNPHARMA.NS,LUPIN.NS,LAURUSLABS.NS,pharma,0,False,False,19.17,29.7961,6.445,15.4943,1.0,-0.864963,-0.232987,,False
SUNPHARMA.NS,LUPIN.NS,GRANULES.NS,pharma,0,False,False,8.9228,29.7961,2.1597,15.4943,1.0,0.470969,-2.922005,,False
SUNPHARMA.NS,LUPIN.NS,NATCOPHARM.NS,pharma,0,False,False,16.7573,29.7961,2.6824,15.4943,1.0,-1642.867592,2136.883866,,False
